CÓDIGODO FUNDO;SETOR;PREÇO ATUAL;LIQUIDEZ DIÁRIA;DIVIDENDYIELD;DY (12M)ACUMULADO;DY (12M)MÉDIA;DY ANO;PATRIMÔNIOLÍQ.;P/VPA;VACÂNCIAFÍSICA;QUANTIDADEATIVOS
CNES11;Lajes Corporativas;R$ 84,00;360.0;0,31%;2,21%;0,18%;1,82%;R$ 272.503.991,80;0,91;62,20%;1
CPTS11B;Títulos e Val. Mob.;R$ 106,10;6491.0;0,66%;8,86%;0,74%;6,17%;R$ 153.289.859,05;1,09;N/A;0
CRFF11;Títulos e Val. Mob.;R$ 95,00;1.0;0,35%;0,00%;0,00%;1,70%;R$ 66.762.962,92;0,98;N/A;0
CTXT11;Lajes Corporativas;R$ 57,70;100.0;0,65%;7,66%;0,64%;5,64%;R$ 123.274.925,37;1,21;8,60%;1
CXCE11B;Outros;R$ 2.349,00;13.0;0,87%;10,13%;0,84%;7,50%;R$ 144.947.497,74;1,11;N/A;1
CXRI11;Híbrido;R$ 1.135,00;30.0;0,71%;8,44%;0,70%;6,06%;R$ 171.705.141,08;1,04;N/A;0
CXTL11;Logística;R$ 381,99;3.0;0,28%;2,27%;0,19%;2,09%;R$ 37.846.330,53;0,54;N/A;4
DMAC11;Residencial;R$ 680,00;196.0;0,74%;9,64%;0,80%;6,92%;R$ 175.890.362,80;0,60;N/A;0
DOMC11;Lajes Corporativas;R$ 505,75;711.0;0,00%;0,00%;0,00%;0,00%;R$ 242.075.775,74;0,51;23,44%;1
DRIT11B;Lajes Corporativas;R$ 162,00;8.0;0,32%;5,02%;0,42%;2,80%;R$ 58.053.106,96;1,29;7,60%;4
EDFO11B;Lajes Corporativas;R$ 297,99;1.0;0,55%;7,27%;0,61%;5,38%;R$ 43.723.442,62;1,61;6,96%;1
EDGA11;Lajes Corporativas;R$ 44,99;2089.0;0,39%;6,23%;0,52%;3,50%;R$ 326.648.290,74;0,53;29,20%;1
EURO11;Logística;R$ 170,00;1133.0;0,33%;8,41%;0,70%;6,93%;R$ 123.561.045,27;0,53;31,85%;6
FAED11;Outros;R$ 258,50;681.0;0,60%;8,14%;0,68%;5,18%;R$ 121.499.480,86;1,37;0,00%;3
FAMB11B;Lajes Corporativas;R$ 2.998,01;83.0;0,98%;14,29%;1,19%;9,80%;R$ 341.402.140,70;0,92;0,00%;1
FCFL11;Outros;R$ 124,45;537.0;0,51%;6,58%;0,55%;4,24%;R$ 300.544.961,92;0,07;0,00%;1
FEXC11;Títulos e Val. Mob.;R$ 113,10;2080.0;0,61%;8,04%;0,67%;5,14%;R$ 249.194.849,47;1,11;N/A;0
FFCI11;Lajes Corporativas;R$ 173,00;8010.0;0,39%;4,13%;0,34%;2,86%;R$ 373.062.715,08;1,01;7,33%;9
FIGS11;Shoppings;R$ 65,50;7257.0;0,00%;9,74%;0,81%;6,16%;R$ 250.404.841,35;0,68;9,86%;2
FIIB11;Híbrido;R$ 527,50;491.0;0,51%;7,00%;0,58%;4,47%;R$ 266.543.400,86;1,36;4,92%;1
FIIP11B;Logística;R$ 191,99;250.0;0,56%;8,36%;0,70%;6,50%;R$ 179.756.687,84;0,99;32,05%;7
FIVN11;Shoppings;R$ 3,26;404.0;0,00%;0,00%;0,00%;N/A;R$ 81.723.180,64;0,38;56,00%;1
